technique_id,name,tactics_str,primary_tactic,frequency_category,Claude,Grok,GPT,Gemini,Final_Classification,Classification_Source,NIDS_Detectable,description,tactics_str,platforms,entity_count,group_count,software_count,frequency_category,total_score,all_entities,groups,software
T1110.003,Password Spraying,credential-access,credential-access,Rare,YES,PARTIAL,YES,YES,YES,Consensus (3/4),Detectable,"Adversaries may use a single or small list of commonly used passwords against many different accounts to attempt to acquire valid account credentials. Password spraying uses one password (e.g. 'Password01'), or a small list of commonly used passwords, that may match the complexity policy of the doma...",credential-access,"Containers, ESXi, IaaS, Identity Provider, Linux, Network Devices, Office Suite, SaaS, Windows, macOS",1,1,0,Rare,19.4,Lazarus Group,Lazarus Group,
T1557.001,LLMNR/NBT-NS Poisoning and SMB Relay,"credential-access, collection",credential-access,Rare,YES,YES,YES,YES,YES,Unanimous (4/4),Detectable,"By responding to LLMNR/NBT-NS network traffic, adversaries may spoof an authoritative source for name resolution to force communication with an adversary controlled system. This activity may be used to collect or relay authentication materials. 

Link-Local Multicast Name Resolution (LLMNR) and NetB...","credential-access, collection",Windows,1,1,0,Rare,18.7,Lazarus Group,Lazarus Group,
T1565.002,Transmitted Data Manipulation,impact,impact,Rare,PARTIAL,PARTIAL,PARTIAL,YES,PARTIAL,Consensus (3/4),Detectable,"Adversaries may alter data en route to storage or other systems in order to manipulate external outcomes or hide activity, thus threatening the integrity of the data.(Citation: FireEye APT38 Oct 2018)(Citation: DOJ Lazarus Sony 2018) By manipulating transmitted data, adversaries may attempt to affec...",impact,"Linux, macOS, Windows",1,1,0,Rare,16.8,APT38,APT38,
T1110.004,Credential Stuffing,credential-access,credential-access,Rare,YES,PARTIAL,YES,YES,YES,Consensus (3/4),Detectable,"Adversaries may use credentials obtained from breach dumps of unrelated accounts to gain access to target accounts through credential overlap. Occasionally, large numbers of username and password pairs are dumped online when a website or service is compromised and the user account credentials access...",credential-access,"Windows, SaaS, IaaS, Linux, macOS, Containers, Network Devices, Office Suite, Identity Provider, ESXi",1,0,1,Rare,15.4,TrickBot,,TrickBot
T1210,Exploitation of Remote Services,lateral-movement,lateral-movement,Medium,YES,YES,YES,YES,YES,Unanimous (4/4),Detectable,"Adversaries may exploit remote services to gain unauthorized access to internal systems once inside of a network. Exploitation of a software vulnerability occurs when an adversary takes advantage of a programming error in a program, service, or within the operating system software or kernel itself t...",lateral-movement,"Linux, Windows, macOS, ESXi",2,0,2,Medium,15.2,"QakBot, TrickBot",,"QakBot, TrickBot"
T1566.003,Spearphishing via Service,initial-access,initial-access,Rare,PARTIAL,PARTIAL,PARTIAL,YES,PARTIAL,Consensus (3/4),Detectable,Adversaries may send spearphishing messages via third-party services in an attempt to gain access to victim systems. Spearphishing via service is a specific variant of spearphishing. It is different from other forms of spearphishing in that it employs the use of third party services rather than dire...,initial-access,"Linux, macOS, Windows",1,1,0,Rare,14.8,Lazarus Group,Lazarus Group,
T1021.002,SMB/Windows Admin Shares,lateral-movement,lateral-movement,Rare,PARTIAL,PARTIAL,PARTIAL,YES,PARTIAL,Consensus (3/4),Detectable,"Adversaries may use [Valid Accounts](https://attack.mitre.org/techniques/T1078) to interact with a remote network share using Server Message Block (SMB). The adversary may then perform actions as the logged-on user.

SMB is a file, printer, and serial port sharing protocol for Windows machines on th...",lateral-movement,Windows,1,1,0,Rare,14.2,Lazarus Group,Lazarus Group,
T1048.003,Exfiltration Over Unencrypted Non-C2 Protocol,exfiltration,exfiltration,Rare,YES,YES,YES,YES,YES,Unanimous (4/4),Detectable,"Adversaries may steal data by exfiltrating it over an un-encrypted network protocol other than that of the existing command and control channel. The data may also be sent to an alternate network location from the main command and control server.(Citation: copy_cmd_cisco)

Adversaries may opt to obfu...",exfiltration,"ESXi, Linux, macOS, Network Devices, Windows",1,1,0,Rare,12.2,Lazarus Group,Lazarus Group,
T1567.002,Exfiltration to Cloud Storage,exfiltration,exfiltration,Rare,PARTIAL,PARTIAL,PARTIAL,YES,PARTIAL,Consensus (3/4),Detectable,"Adversaries may exfiltrate data to a cloud storage service rather than over their primary command and control channel. Cloud storage services allow for the storage, edit, and retrieval of data from a remote cloud storage server over the Internet.

Examples of cloud storage services include Dropbox a...",exfiltration,"ESXi, Linux, macOS, Windows",1,1,0,Rare,12.2,Indrik Spider,Indrik Spider,
T1080,Taint Shared Content,lateral-movement,lateral-movement,Rare,PARTIAL,PARTIAL,PARTIAL,YES,PARTIAL,Consensus (3/4),Detectable,"
Adversaries may deliver payloads to remote systems by adding content to shared storage locations, such as network drives or internal code repositories. Content stored on network drives or in other shared locations may be tainted by adding malicious programs, scripts, or exploit code to otherwise va...",lateral-movement,"Windows, SaaS, Linux, macOS, Office Suite",1,0,1,Rare,10.2,Ursnif,,Ursnif
T1048.002,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,exfiltration,exfiltration,Rare,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,Unanimous (4/4),Detectable,"Adversaries may steal data by exfiltrating it over an asymmetrically encrypted network protocol other than that of the existing command and control channel. The data may also be sent to an alternate network location from the main command and control server. 

Asymmetric encryption algorithms are tho...",exfiltration,"Linux, macOS, Windows, ESXi",1,0,1,Rare,8.2,IcedID,,IcedID
T1030,Data Transfer Size Limits,exfiltration,exfiltration,Rare,PARTIAL,PARTIAL,PARTIAL,PARTIAL,PARTIAL,Unanimous (4/4),Detectable,An adversary may exfiltrate data in fixed size chunks instead of whole files or limit packet sizes below certain thresholds. This approach may be used to avoid triggering network data transfer threshold alerts.,exfiltration,"Linux, macOS, Windows, ESXi",1,0,1,Rare,8.2,Carbanak,,Carbanak
